Time in ms,Time in Text
716865,12 m
18006546,5 h
4845998,1 h 21 m
5360399,1 h 29 m
481841,8 m
6871487,1 h 55 m
3097123,52 m
2281673,38 m
5430983,1 h 31 m
2103527,35 m
328742,5 m
674921,11 m
1642906,27 m
1715522,29 m
284145,5 m
3248053,54 m
1949265,32 m
574690,10 m
1288191,21 m
2134851,36 m
1944762,32 m
4208483,1 h 10 m
988627,16 m
877707,15 m
1005675,17 m
3555386,59 m
594320,10 m
11289852,3 h 8 m
154751,3 m
1786675,30 m
18000000,5 h
2100000,35 m
4469031,1 h 14 m
474863,8 m
1096299,18 m
7421692,2 h 4 m
1257373,21 m
2544302,42 m
1908416,32 m
72747,1 m
3107690,52 m
396001,7 m
2140634,36 m
121346,2 m
3351335,56 m
4151904,1 h 9 m
13623487,3 h 47 m
1168707,19 m
424416,7 m
482349,8 m
1522051,25 m
2711943,45 m
3088813,51 m
2205286,37 m
3409738,57 m
7303541,2 h 2 m
2228653,37 m
6194496,1 h 43 m
653136,11 m
8908847,2 h 28 m
256779,4 m
4434306,1 h 14 m
1520812,25 m
5976725,1 h 40 m
443409,7 m
6144986,1 h 42 m
2465116,41 m
3774342,1 h 3 m
790718,13 m
1336814,22 m
4590446,1 h 17 m
360987,6 m
750439,13 m
2331611,39 m
494130,8 m
127761,2 m
512433,9 m
2245485,37 m
7034126,1 h 57 m
360274,6 m
4180881,1 h 10 m
1072823,18 m
985544,16 m
844450,14 m
1724137,29 m
4339693,1 h 12 m
827399,14 m
9677174,2 h 41 m
6003057,1 h 40 m
758475,13 m
357239,6 m
3511189,59 m
18043912,5 h 1 m
9493669,2 h 38 m
3244575,54 m
1623709,27 m
980583,16 m
649108,11 m
285018,5 m
7267009,2 h 1 m
118962,2 m
918138,15 m
4042184,1 h 7 m
6578367,1 h 50 m
1038610,17 m
1223657,20 m
2960199,49 m
960293,16 m
3883929,1 h 5 m
18000372,5 h
1719240,29 m
6177586,1 h 43 m
269357,4 m
3039284,51 m
934523,16 m
4649766,1 h 17 m
379217,6 m
1071430,18 m
450041,8 m
3722528,1 h 2 m
1226723,20 m
691105,12 m
7658624,2 h 8 m
209529,3 m
1860000,31 m
10832783,3 h 1 m
391572,7 m
1381436,23 m
1108450,18 m
360332,6 m
2273413,38 m
2740609,46 m
9231421,2 h 34 m
133010,2 m
2699865,45 m
4834171,1 h 21 m
683244,11 m
3420062,57 m
489971,8 m
2759797,46 m
1193296,20 m
700656,12 m
3578638,60 m
7789907,2 h 10 m
669743,11 m
4007126,1 h 7 m
3638001,1 h 1 m
4690404,1 h 18 m
494970,8 m
1677579,28 m
1164870,19 m
1436056,24 m
176480,3 m
516810,9 m
5917941,1 h 39 m
2009043,33 m
242589,4 m
165857,3 m
3163978,53 m
3048969,51 m
4133593,1 h 9 m
365224,6 m
1465325,24 m
2524969,42 m
677875,11 m
1422639,24 m
211597,4 m
3675759,1 h 1 m
322229,5 m
3981356,1 h 6 m
10373154,2 h 53 m
166585,3 m
2190037,37 m
18000719,5 h
1336030,22 m
7590397,2 h 7 m
5329211,1 h 29 m
2020116,34 m
1052928,18 m
168614,3 m
751145,13 m
5497118,1 h 32 m
3961371,1 h 6 m
1412359,24 m
2639553,44 m
314396,5 m
9730950,2 h 42 m
8570801,2 h 23 m
4270906,1 h 11 m
1149132,19 m
4269666,1 h 11 m
688011,11 m
943598,16 m
1217805,20 m
1582600,26 m
1920604,32 m
1022097,17 m
1198550,20 m
3407686,57 m
118701,2 m
846831,14 m
1339305,22 m
788486,13 m
3417973,57 m
559509,9 m
1683597,28 m
956503,16 m
1283679,21 m
231187,4 m
381471,6 m
1000133,17 m
2693184,45 m
4674228,1 h 18 m
1314526,22 m
822203,14 m
702576,12 m
5437132,1 h 31 m
1052484,18 m
5724031,1 h 35 m
746135,12 m
11852282,3 h 18 m
2282147,38 m
397431,7 m
2457574,41 m
5764071,1 h 36 m
1203056,20 m
1010194,17 m
3424826,57 m
3980958,1 h 6 m
3776109,1 h 3 m
1820,0.03 m
2104018,35 m
6207255,1 h 43 m
12731905,3 h 32 m
7210373,2 h
4331579,1 h 12 m
8520489,2 h 22 m
723855,12 m
5400562,1 h 30 m
268931,4 m
915664,15 m
3478114,58 m
1651597,28 m
2679870,45 m
2699894,45 m
219317,4 m
6587407,1 h 50 m
883595,15 m
1081692,18 m
364577,6 m
6588941,1 h 50 m
1149649,19 m
5910142,1 h 39 m
378920,6 m
7689160,2 h 8 m
