search_string,start_time,end_time,sentence,video_id,video_url
ik moet het ook gewoon zeggen anders gaat iemand anders het op zijn manier maken terwijl er staat straks heel groot mijn en jouw naam bij,730,736,ik moet het ook gewoon zeggen anders gaat iemand anders het op zijn manier maken terwijl er staat straks heel groot mijn en jouw naam bij,LemeIsc8Iy0,https://www.youtube.com/watch?v=LemeIsc8Iy0&t=730s
dus wanneer je iemand anders ziet eten dat je dan ook denkt van oh dit kan wel eens een goed moment zijn om ook voor jezelf te eten,365,372,dus wanneer je iemand anders ziet eten dat je dan ook denkt van oh dit kan wel eens een goed moment zijn om ook voor jezelf te eten,jSq4KqjykvM,https://www.youtube.com/watch?v=jSq4KqjykvM&t=365s
als je gewoon mensen bij elkaar aan tafel zet hoe hard je op elkaar lijkt hoeveel dingen waar je het eigenlijk wel over eens bent,295,304,als je gewoon mensen bij elkaar aan tafel zet hoe hard je op elkaar lijkt hoeveel dingen waar je het eigenlijk wel over eens bent,7qygIdY0k8Y,https://www.youtube.com/watch?v=7qygIdY0k8Y&t=295s
nou het valt me niet tegen moet ik zeggen want ik ging er eigenlijk een beetje naar toe omdat er zoveel problemen waren geweest,98,104,nou het valt me niet tegen moet ik zeggen want ik ging er eigenlijk een beetje naar toe omdat er zoveel problemen waren geweest,URyrZjK46pQ,https://www.youtube.com/watch?v=URyrZjK46pQ&t=98s
laten we nou eens kijken wat er gebeurt als er twee mensen uit een ander land elkaar tegen komen komen ze er inderdaad wel uit,576,584,laten we nou eens kijken wat er gebeurt als er twee mensen uit een ander land elkaar tegen komen komen ze er inderdaad wel uit,oewqQ6RkNT8,https://www.youtube.com/watch?v=oewqQ6RkNT8&t=576s
waar ik denk ik het meest trots op ben is dat we in er in het afgelopen jaar echt naartoe zijn gegaan dat iedereen die aan,299,306,waar ik denk ik het meest trots op ben is dat we in er in het afgelopen jaar echt naartoe zijn gegaan dat iedereen die aan zuidoost werkt,ZQxGW8XGf7E,https://www.youtube.com/watch?v=ZQxGW8XGf7E&t=299s
en ik weet niet of heb je wel is gehoord hoe wij god noemen want wij gebruiken normaal gesproken het woord god niet altijd,64,69,en ik weet niet of heb je wel is gehoord hoe wij god noemen want wij gebruiken normaal gesproken het woord god niet altijd,hMKBVYnSOgA,https://www.youtube.com/watch?v=hMKBVYnSOgA&t=64s
twee maanden later kwam iemand naar me toe ja dat is helemaal niet zo je moet echt zorgen dat je dat via een ander bureau,490,497,twee maanden later kwam iemand naar me toe ja dat is helemaal niet zo je moet echt zorgen dat je dat via een ander bureau regelt,pG9tQDC_660,https://www.youtube.com/watch?v=pG9tQDC_660&t=490s
en dan gaat hij naar de pati nt en zegt de pati nt vertel het maar niet aan mijn vrouw want daar zal ze niet tegen kunnen,597,604,en dan gaat hij naar de pati nt en zegt de pati nt vertel het maar niet aan mijn vrouw want daar zal ze niet tegen kunnen,tblVw8IN1tU,https://www.youtube.com/watch?v=tblVw8IN1tU&t=597s
ik heb gewoon mijn best gedaan en meer kan ik ook niet doen nee dat is ook waar dat het me net zo ja nou kom partner toe,71,74,ik heb gewoon mijn best gedaan en meer kan ik ook niet doen nee dat is ook waar dat het me net zo ja nou kom partner toe,g6bFXAZPW1k,https://www.youtube.com/watch?v=g6bFXAZPW1k&t=71s
