search_string,start_time,end_time,sentence,video_id,video_url
también dice que se siente solo porque no tiene nadie con quien hablar solo de vez en cuando alguien le dice cosas por la,250,256,también dice que se siente solo porque no tiene nadie con quien hablar solo de vez en cuando alguien le dice cosas por la radio,QGlH1rRdROo,https://www.youtube.com/watch?v=QGlH1rRdROo&t=250s
así que creo que todavía hay algunas preguntas sin respuesta en eso pero creo que en general podría ser un buen cambio de,1122,1129,así que creo que todavía hay algunas preguntas sin respuesta en eso pero creo que en general podría ser un buen cambio de reglas,O0rkwLyf3BA,https://www.youtube.com/watch?v=O0rkwLyf3BA&t=1122s
el problema es que tienen la mejor arma del mundo pero no se sabe por qué no está en la ciudad hablo como no del arma de,744,751,el problema es que tienen la mejor arma del mundo pero no se sabe por qué no está en la ciudad hablo como no del arma de impulsos electromagnéticos,fl70SaNinZs,https://www.youtube.com/watch?v=fl70SaNinZs&t=744s
si tienes razón pero en realidad te lo dice porque le gusta la manera en la que se siente contigo y cuando estás sola o,436,443,si tienes razón pero en realidad te lo dice porque le gusta la manera en la que se siente contigo y cuando estás sola o,NWsd2DM3akQ,https://www.youtube.com/watch?v=NWsd2DM3akQ&t=436s
y muchas veces única manera de escuchar música en tu vida por tanto además ya la tenías que escuchar siempre de manera,2183,2190,y muchas veces única manera de escuchar música en tu vida por tanto además ya la tenías que escuchar siempre de manera,NgHXFTgaVT0,https://www.youtube.com/watch?v=NgHXFTgaVT0&t=2183s
y eso es bueno ahora tenemos un mejor dinero pero qué tal si ahora podemos tener un mejor sistema de gobierno,151,160,y eso es bueno ahora tenemos un mejor dinero pero qué tal si ahora podemos tener un mejor sistema de gobierno,jX_pbV6ea3c,https://www.youtube.com/watch?v=jX_pbV6ea3c&t=151s
porque es que también te digo que algunas veces dan una información un poco que tú dices te la podrías haber,136,141,porque es que también te digo que algunas veces dan una información un poco que tú dices te la podrías haber guardado,wTG_d4h4UG8,https://www.youtube.com/watch?v=wTG_d4h4UG8&t=136s
que además lo único que quería era información que no era una cosa de vida o muerte al menos en ese momento,101,107,que además lo único que quería era información que no era una cosa de vida o muerte al menos en ese momento,DlUnYlm_NvA,https://www.youtube.com/watch?v=DlUnYlm_NvA&t=101s
que tú el día de ahora toma la decisión de no ser parte de esto tu dices que no pero te hago una pregunta,238,244,que tú el día de ahora toma la decisión de no ser parte de esto tu dices que no pero te hago una pregunta,hvUAK_SBg8A,https://www.youtube.com/watch?v=hvUAK_SBg8A&t=238s
no siempre pero que de vez en cuando lo hagas hará que ella se para pensar pero porque se acaba de salir,277,283,no siempre pero que de vez en cuando lo hagas hará que ella se para pensar pero porque se acaba de salir,NWsd2DM3akQ,https://www.youtube.com/watch?v=NWsd2DM3akQ&t=277s
a poder conseguir sin ningún tipo de problema aquí el hecho que no sean porque creo que han ido buscando,649,654,a poder conseguir sin ningún tipo de problema aquí el hecho que no sean porque creo que han ido buscando,PSZpSagvnRo,https://www.youtube.com/watch?v=PSZpSagvnRo&t=649s
de todo me quiere decir que esto es un caso claro como yo le dije antes eso que no falta nada yo estoy,446,453,de todo me quiere decir que esto es un caso claro como yo le dije antes eso que no falta nada yo estoy,1om7u0N5eK0,https://www.youtube.com/watch?v=1om7u0N5eK0&t=446s
pero de esa sí me acuerdo porque fue la primera vez que estuve con él después vino también con su hija,1853,1859,pero de esa sí me acuerdo porque fue la primera vez que estuve con él después vino también con su hija,wW74emULWdg,https://www.youtube.com/watch?v=wW74emULWdg&t=1853s
ahora lo que vamos a hacer es en este último punto alto que hice voy a hacer el primer punto bajo por,2417,2424,ahora lo que vamos a hacer es en este último punto alto que hice voy a hacer el primer punto bajo por,yjqukPuFwMs,https://www.youtube.com/watch?v=yjqukPuFwMs&t=2417s
tenemos que tener claro cuándo vamos a la tienda a comprar que queremos y porque lo queremos hablando,264,272,tenemos que tener claro cuándo vamos a la tienda a comprar que queremos y porque lo queremos hablando,KAhFtRSWTa8,https://www.youtube.com/watch?v=KAhFtRSWTa8&t=264s
hacer que no está hecho y que puede ayudar en este sentido nosotros sabemos lo importante que es para,3287,3296,hacer que no está hecho y que puede ayudar en este sentido nosotros sabemos lo importante que es para,tAXtHDSAHM0,https://www.youtube.com/watch?v=tAXtHDSAHM0&t=3287s
