twogram,frequency
je ne,377548
questce que,284029
je suis,273774
je sais,233904
ça va,230121
sais pas,207084
bien sûr,194170
que tu,158282
ne sais,157909
mon dieu,151884
très bien,129819
cest vrai,118734
je vais,118342
cest quoi,107461
il est,103477
je vous,102665
ce nest,95968
tu es,94404
tu as,93751
cest pas,93204
nest pas,92097
ce que,90637
va bien,87905
cest bon,87900
questce qui,86434
je peux,85508
je le,84477
non non,82828
tu veux,79617
comment ça,79393
oh mon,78344
de quoi,75858
tu fais,75188
cest ça,75109
peux pas,73520
que cest,73039
je te,72812
tu sais,72009
que je,68705
y a,67758
moi aussi,65603
on y,65126
tout va,64048
suis désolé,63149
tu vas,63009
ne peux,61681
je men,61055
au revoir,60406
vous êtes,59466
se passe,58396
quelque chose,57195
je taime,56042
questce quil,56000
elle est,55549
pas de,54290
vous avez,53242
du tout,52460
y va,52315
je dois,52021
je veux,51502
y aller,49774
vous en,47962
cest tout,47611
pas ça,47209
que se,47155
que vous,45548
se passetil,45338
sil vous,45001
ah oui,44869
je vois,44725
je lai,43946
cest bien,43872
que ça,43548
et alors,43478
pas vrai,42699
qui se,41933
crois pas,41764
suis désolée,41522
pas du,41426
comprends pas,41366
je comprends,41253
et toi,40462
cest moi,40229
vous plaît,40107
quy atil,39649
cest un,39542
oui monsieur,39189
le sais,38955
sais rien,38122
va pas,38013
je nai,37917
comme ça,37266
sais quoi,36681
est là,36574
pas le,36345
tu vois,35903
ca va,35756
oh non,35691
tu ne,35471
pourquoi pas,35336
de suite,34171
tu te,34068
cest une,33869
par ici,33810
tu le,33754
ne comprends,33738
ça ne,33605
bonne nuit,33055
quil y,33029
fais pas,33009
sil te,32809
tout de,32666
sûr que,32567
va aller,32522
merci beaucoup,32348
que sestil,32134
sestil passé,32134
ah bon,32133
bon sang,31430
te plaît,31350
une minute,31217
ne me,31092
tu parles,31067
eh bien,31002
je me,30757
non merci,30735
quoi ça,30680
en effet,30445
pas encore,30349
que faistu,30282
je nen,30205
oui je,30123
en prie,30089
il y,29572
un peu,29286
qui êtesvous,29220
tout le,29107
plus tard,29043
qui estce,29007
vous savez,28951
que faitesvous,27951
oui cest,27458
cest ce,27379
quoi tu,27351
veut dire,26911
ne le,26773
ça suffit,26658
vais bien,26332
je crois,25980
jy vais,25876
le monde,25871
tu me,25719
veux dire,25620
où estil,25508
que non,25443
un problème,25431
non pas,25214
on a,25153
comment tu,25018
que voulezvous,24960
ne vous,24948
vous aider,24738
ne va,24647
veux pas,24407
cest parti,24216
je ten,24089
pas moi,23914
tout à,23856
vous voulez,23845
dois y,23742
vous faites,23669
jen sais,23522
il a,23367
pas vraiment,23290
bonne chance,23287
ça veut,23209
peu importe,23142
il faut,23135
vas bien,23129
de la,23073
la ferme,22900
le faire,22873
y est,22712
du calme,22710
tu las,22708
et vous,22664
les gars,22664
non plus,22630
as raison,22577
sest passé,22512
vous le,22500
je reviens,22355
tu peux,21925
cest fini,21683
on va,21535
cest la,21494
avec moi,21447
qui est,21439
non je,21412
suis pas,21395
que veuxtu,21345
quel est,21285
pour moi,21082
pour quoi,20964
de moi,20856
non cest,20851
jen ai,20826
vous ne,20777
pas grave,20750
un instant,20657
ten prie,20630
quest ce,20449
une seconde,20401
tinquiète pas,20194
de vous,19970
on est,19925
oui bien,19880
de problème,19754
cest impossible,19695
pour toi,19669
et voilà,19661
suis là,19486
on se,19463
de rien,19415
oh oui,19204
est mort,19058
moi non,18892
nai pas,18817
jai besoin,18765
ça fait,18695
cest pour,18410
le problème,18370
va te,18359
mais non,18267
cest trop,18122
pas mal,18069
cest lui,17875
vous voyez,17777
fais quoi,17697
à fait,17690
ne veux,17681
te faire,17659
men occupe,17486
nestce pas,17304
ils sont,17265
pas question,17254
bonne idée,17230
il va,17216
besoin de,17208
cest mon,17186
vous allez,17168
cest faux,16895
cest ma,16872
le voilà,16824
jai une,16596
